doctor_id,doctor_name,specialization,hospital,city,state
319,Todd Miller,Orthopedic,Richards Ltd Hospital,Bangalore,Karnataka
320,Stacy Carson,Diabetologist,Davis Ltd Hospital,Mumbai,Maharashtra
321,Kevin Carson,Dermatologist,Hawkins-Vaughn Hospital,Pune,Maharashtra
322,Judy Maddox,Gynecologist,Turner-Daniel Hospital,Bangalore,Karnataka
323,April Fisher,Cardiologist,"Hendricks, Schroeder and Parsons Hospital",Hyderabad,Telangana
324,Lisa Oliver,Neurologist,Santiago-Gutierrez Hospital,Hyderabad,Telangana
325,Matthew Chapman,Gynecologist,Horton and Sons Hospital,Pune,Maharashtra
326,Carl Best,Gynecologist,Chavez-Johnson Hospital,Chennai,Tamil Nadu
327,Robert Weaver,Dermatologist,Terry and Sons Hospital,Chennai,Tamil Nadu
328,Matthew Kelly,Gynecologist,Bryan-Rogers Hospital,Bangalore,Karnataka
329,Cassandra Sanchez,Gynecologist,"Page, Patel and Howell Hospital",Bangalore,Karnataka
330,Monique Simpson,Diabetologist,Luna-Ellis Hospital,Chennai,Tamil Nadu
331,Thomas Lewis,General Physician,Hernandez-Williams Hospital,Hyderabad,Telangana
332,Julia Sullivan,Orthopedic,"Wright, Mueller and Smith Hospital",Bangalore,Karnataka
333,Travis Allen,Gynecologist,Stewart-Holland Hospital,Mumbai,Maharashtra
334,John Williams,Neurologist,Jacobs Group Hospital,Bangalore,Karnataka
335,Joshua Williams,Cardiologist,"Morris, Wang and Crawford Hospital",Bangalore,Karnataka
336,Matthew Hernandez,Cardiologist,"Bailey, Allen and Rodriguez Hospital",Bangalore,Karnataka
337,Emily Riggs,Neurologist,Jones-Armstrong Hospital,Bangalore,Karnataka
338,Melody Stewart,Gynecologist,Vance LLC Hospital,Mumbai,Maharashtra
339,Jodi Brown,Diabetologist,Garcia-Smith Hospital,Delhi,Delhi
340,Michelle Tate,General Physician,Freeman Group Hospital,Chennai,Tamil Nadu
341,Paul Martinez,Gynecologist,Anderson LLC Hospital,Mumbai,Maharashtra
342,Diana Blevins,General Physician,Baker Group Hospital,Pune,Maharashtra
343,Lawrence Romero,Dermatologist,"Sutton, Wright and Serrano Hospital",Chennai,Tamil Nadu
344,Daniel Knapp,General Physician,Simmons Group Hospital,Bangalore,Karnataka
345,Russell Williams,Dermatologist,Wong-Martin Hospital,Chennai,Tamil Nadu
346,Barbara Collins,General Physician,"Shaw, Gates and Marquez Hospital",Hyderabad,Telangana
347,Kyle Jones,General Physician,Edwards Ltd Hospital,Mumbai,Maharashtra
348,Janet Dyer,Orthopedic,Becker LLC Hospital,Delhi,Delhi
349,Tina Green,Neurologist,"White, Smith and Peterson Hospital",Chennai,Tamil Nadu
350,Cindy Brown,Cardiologist,Lee-Rodriguez Hospital,Delhi,Delhi
351,Alexis Powers,Gynecologist,Michael LLC Hospital,Delhi,Delhi
352,Michael Gordon,Dermatologist,Hudson-Barnes Hospital,Hyderabad,Telangana
353,Travis Young,Orthopedic,Green-Smith Hospital,Delhi,Delhi
354,Heidi Olson,Dermatologist,Harrison-Brown Hospital,Chennai,Tamil Nadu
355,Brittany Taylor,Cardiologist,Lloyd PLC Hospital,Bangalore,Karnataka
356,Bryan Harvey,Gynecologist,Shelton Group Hospital,Pune,Maharashtra
357,Dylan Allen,Gynecologist,"Hart, Foley and Goodman Hospital",Hyderabad,Telangana
358,Cory Hendrix,Gynecologist,"Molina, Stone and Holmes Hospital",Delhi,Delhi
359,Alexandra Griffin,Orthopedic,Stevens-Camacho Hospital,Bangalore,Karnataka
360,Dustin Larson,Diabetologist,Rogers LLC Hospital,Mumbai,Maharashtra
361,Michael Ortiz,Dermatologist,Elliott-Kidd Hospital,Mumbai,Maharashtra
362,Joshua Clark,Neurologist,"Klein, Holland and Johnson Hospital",Hyderabad,Telangana
363,Rebecca Pierce,Cardiologist,Ryan PLC Hospital,Hyderabad,Telangana
364,Amanda Delacruz,Orthopedic,Preston Group Hospital,Hyderabad,Telangana
365,Matthew Hicks,Cardiologist,Carroll PLC Hospital,Pune,Maharashtra
366,William Pace,Neurologist,King-Jones Hospital,Hyderabad,Telangana
367,Alicia Richardson,Orthopedic,Ortega-Johnson Hospital,Pune,Maharashtra
368,Jerry Jimenez,Cardiologist,"Hayden, Richardson and Pace Hospital",Mumbai,Maharashtra
369,Ronald Wall,Neurologist,Frederick-Rowe Hospital,Pune,Maharashtra
370,Michael Lee,Dermatologist,Cohen-Martinez Hospital,Chennai,Tamil Nadu
371,Michael Hood,Neurologist,"Garcia, Buchanan and Hernandez Hospital",Delhi,Delhi
372,Lauren Johnson,Neurologist,Mueller-Dean Hospital,Pune,Maharashtra
373,Keith Young,Orthopedic,Wright Ltd Hospital,Hyderabad,Telangana
374,Monica Bishop,Neurologist,Campbell Ltd Hospital,Hyderabad,Telangana
375,William Stewart,Dermatologist,"Villegas, Lee and Stewart Hospital",Chennai,Tamil Nadu
376,Bradley Ortiz,Dermatologist,Heath Inc Hospital,Bangalore,Karnataka
377,Melissa Kaufman,Gynecologist,"King, Foster and Guerrero Hospital",Hyderabad,Telangana
378,Ashley James,Diabetologist,Walker Inc Hospital,Bangalore,Karnataka
379,James Tran,Dermatologist,"Davis, Brown and Anderson Hospital",Mumbai,Maharashtra
380,Suzanne Green,Neurologist,Jones PLC Hospital,Pune,Maharashtra
381,Jennifer Rodriguez,Orthopedic,Carter-Kaufman Hospital,Hyderabad,Telangana
382,David Padilla,Neurologist,Roth-Lowery Hospital,Mumbai,Maharashtra
383,Mario Williams,General Physician,Wiggins Group Hospital,Pune,Maharashtra
384,Amy Johnson,General Physician,"Collins, Calhoun and Eaton Hospital",Chennai,Tamil Nadu
385,Juan Gomez,General Physician,Nelson Group Hospital,Delhi,Delhi
386,Rachel Barry,Neurologist,Hawkins-King Hospital,Pune,Maharashtra
387,Allen Stafford,Gynecologist,Cline-Johnson Hospital,Hyderabad,Telangana
388,Stephanie Foster,Dermatologist,"Cervantes, Lee and Pham Hospital",Chennai,Tamil Nadu
389,John Avila,Orthopedic,Hammond-Harmon Hospital,Pune,Maharashtra
390,Diana Chapman,Neurologist,Wolfe-Adams Hospital,Mumbai,Maharashtra
391,Randy Welch,Cardiologist,Harris Ltd Hospital,Hyderabad,Telangana
392,Justin Ellis,Diabetologist,Miller-Duffy Hospital,Hyderabad,Telangana
393,Justin Kim,Diabetologist,Rios-Scott Hospital,Mumbai,Maharashtra
394,Allison Jenkins,Gynecologist,"Benson, Mckenzie and Morris Hospital",Bangalore,Karnataka
395,Travis Parrish,Orthopedic,"Davis, Williams and Hahn Hospital",Pune,Maharashtra
396,Robert Reese,Diabetologist,Williams PLC Hospital,Chennai,Tamil Nadu
397,Ryan Sanchez,Diabetologist,"Kennedy, Hill and Harris Hospital",Mumbai,Maharashtra
398,Mark Turner,General Physician,"Davis, Wilson and Nelson Hospital",Bangalore,Karnataka
399,Kenneth Barnes,Gynecologist,Guzman-Lewis Hospital,Mumbai,Maharashtra
400,William Novak,Orthopedic,"Miller, Brewer and Rodriguez Hospital",Mumbai,Maharashtra
401,Rebekah Stewart,Gynecologist,Porter PLC Hospital,Delhi,Delhi
402,Jonathan Gaines,Cardiologist,Brady Inc Hospital,Pune,Maharashtra
403,Brian Mitchell,Diabetologist,Dennis PLC Hospital,Chennai,Tamil Nadu
404,Jennifer Martin,General Physician,Garcia-Jackson Hospital,Chennai,Tamil Nadu
405,Eric Lucas,Orthopedic,Spears Ltd Hospital,Bangalore,Karnataka
406,Kyle Glenn,Orthopedic,"Schmidt, Oneal and Knapp Hospital",Delhi,Delhi
407,Andrew Franco,Neurologist,Stanton-Mathis Hospital,Bangalore,Karnataka
408,Allison Green,General Physician,Hamilton-Williamson Hospital,Mumbai,Maharashtra
409,Amy Blair,Neurologist,"Oconnell, Rodriguez and Price Hospital",Mumbai,Maharashtra
410,Bianca Palmer,Cardiologist,Acosta-Chung Hospital,Pune,Maharashtra
411,George Bradley PhD,Orthopedic,"Key, White and Alexander Hospital",Chennai,Tamil Nadu
412,Melissa Harris,Orthopedic,Keith-Flynn Hospital,Mumbai,Maharashtra
413,Brandon Duran,Diabetologist,Klein PLC Hospital,Hyderabad,Telangana
414,Brittney Knight,Dermatologist,Miller Group Hospital,Chennai,Tamil Nadu
415,Beverly Scott,Dermatologist,Shields LLC Hospital,Hyderabad,Telangana
416,Tyrone Lynch,Diabetologist,Bennett LLC Hospital,Chennai,Tamil Nadu
417,Kari Smith,Neurologist,Paul PLC Hospital,Delhi,Delhi
418,Robert Golden,Gynecologist,Macias Ltd Hospital,Hyderabad,Telangana
419,Stephanie Garcia,General Physician,Craig-Vaughn Hospital,Hyderabad,Telangana
420,Connor Owen,Cardiologist,Anderson-Hamilton Hospital,Mumbai,Maharashtra
421,Jimmy Adams,Neurologist,"Fletcher, Meyer and Jackson Hospital",Chennai,Tamil Nadu
422,Dr. Kayla Turner,Orthopedic,Hill Ltd Hospital,Mumbai,Maharashtra
423,Adrienne Strong,Gynecologist,"Moyer, Cruz and Tucker Hospital",Hyderabad,Telangana
424,Glenn Vega,Gynecologist,Hernandez and Sons Hospital,Delhi,Delhi
425,Derrick Smith,Neurologist,Gonzalez-Harper Hospital,Bangalore,Karnataka
426,Kayla Lewis,Neurologist,Reyes and Sons Hospital,Bangalore,Karnataka
427,Ian Vang,Neurologist,"Martinez, Morgan and Johnson Hospital",Hyderabad,Telangana
428,Kaylee Thomas,Neurologist,Riley-Russo Hospital,Hyderabad,Telangana
429,Jennifer Price,Diabetologist,Knight-Chapman Hospital,Bangalore,Karnataka
430,Elizabeth Miller,Diabetologist,Allen Inc Hospital,Chennai,Tamil Nadu
431,Steven Price,Neurologist,Murphy Inc Hospital,Chennai,Tamil Nadu
432,Ann Fisher,Dermatologist,"Garza, Woods and Frazier Hospital",Chennai,Tamil Nadu
433,Meghan Fitzgerald,Gynecologist,Mendoza-Lopez Hospital,Pune,Maharashtra
434,Kimberly Nielsen,Dermatologist,Shaw-Myers Hospital,Hyderabad,Telangana
435,Juan Nunez,Neurologist,Woods Ltd Hospital,Mumbai,Maharashtra
436,Alexis Brown,Dermatologist,Hunter-Rosario Hospital,Chennai,Tamil Nadu
437,Matthew Clark,Neurologist,Bell-Roman Hospital,Bangalore,Karnataka
438,Terry Sharp,Gynecologist,"Green, Mueller and Stokes Hospital",Pune,Maharashtra
439,Joshua Baker,Gynecologist,Thompson PLC Hospital,Bangalore,Karnataka
440,Travis Kelly,Diabetologist,Zimmerman and Sons Hospital,Hyderabad,Telangana
441,Colleen Curtis,General Physician,Peterson-Santiago Hospital,Mumbai,Maharashtra
442,Jacob Solis,Orthopedic,Gross-Hall Hospital,Delhi,Delhi
443,Brittany Fitzgerald,Diabetologist,"Peterson, Schmidt and Fleming Hospital",Hyderabad,Telangana
444,Kimberly Haynes,Diabetologist,Brown-Rodriguez Hospital,Bangalore,Karnataka
445,Larry Cross,General Physician,"Gay, Scott and Meyer Hospital",Chennai,Tamil Nadu
446,Jonathan Grant,Neurologist,"Klein, Scott and Stephens Hospital",Pune,Maharashtra
447,Elizabeth Mcdowell,Diabetologist,"Baker, Townsend and Brady Hospital",Pune,Maharashtra
448,Miss Kathy Cook,Gynecologist,"Mendez, Bell and Bennett Hospital",Bangalore,Karnataka
449,Priscilla Price,Dermatologist,"Riddle, Kelly and Wilson Hospital",Chennai,Tamil Nadu
450,Sally Harrison,General Physician,Cantu-Wells Hospital,Chennai,Tamil Nadu
451,Theresa Hudson,Cardiologist,Smith Ltd Hospital,Delhi,Delhi
452,Thomas Short,General Physician,"Rivera, Porter and Villa Hospital",Hyderabad,Telangana
453,Steven Williams,Orthopedic,Griffin-Hall Hospital,Pune,Maharashtra
454,Dr. Jeffrey Jones,Diabetologist,"Cook, Williams and Johnson Hospital",Bangalore,Karnataka
455,Connie Ward,Neurologist,"Ortiz, Webster and Murillo Hospital",Chennai,Tamil Nadu
456,Jordan Jones,Diabetologist,Jackson Group Hospital,Bangalore,Karnataka
457,Michael Soto,Cardiologist,Brown Ltd Hospital,Delhi,Delhi
458,Sherry Holmes,Diabetologist,Payne and Sons Hospital,Mumbai,Maharashtra
459,William Peterson,Diabetologist,Gardner Ltd Hospital,Pune,Maharashtra
460,Anthony Tucker,General Physician,Pineda LLC Hospital,Delhi,Delhi
461,Kevin Zimmerman,Dermatologist,White-Powell Hospital,Bangalore,Karnataka
462,Scott Daniels,Neurologist,Porter-Rivera Hospital,Bangalore,Karnataka
463,Joseph Wright,Cardiologist,"Rivera, Jones and Alvarez Hospital",Hyderabad,Telangana
464,Ryan Parsons,Dermatologist,Miller Group Hospital,Bangalore,Karnataka
465,Peter Campbell,Cardiologist,Mclean Ltd Hospital,Bangalore,Karnataka
466,Susan Brown,Dermatologist,Cruz Inc Hospital,Bangalore,Karnataka
467,Daniel Rush,Orthopedic,Myers-Rodriguez Hospital,Chennai,Tamil Nadu
468,Natasha Garcia,Orthopedic,Johnson-Smith Hospital,Chennai,Tamil Nadu
469,Danielle Bray,Gynecologist,Turner-Miller Hospital,Hyderabad,Telangana
470,Amanda Mitchell,General Physician,Woods-Martinez Hospital,Delhi,Delhi
471,Amanda Lowery,General Physician,Sullivan-Fisher Hospital,Chennai,Tamil Nadu
472,Jacob Steele,General Physician,"Davis, Gonzales and Richard Hospital",Pune,Maharashtra
473,Stacy Henderson,General Physician,Cooper Group Hospital,Mumbai,Maharashtra
474,Steven Hayes,General Physician,Jones-Middleton Hospital,Mumbai,Maharashtra
475,Tonya Hopkins,Diabetologist,Adams PLC Hospital,Hyderabad,Telangana
476,Raven Smith,General Physician,"Parker, Mcfarland and Kelly Hospital",Hyderabad,Telangana
477,Michael Wagner,General Physician,"Lee, Clark and Graham Hospital",Delhi,Delhi
478,Christina George,Dermatologist,"Evans, Singleton and Murray Hospital",Mumbai,Maharashtra
479,Mrs. Alicia Patel,Cardiologist,Peterson Group Hospital,Mumbai,Maharashtra
480,Lauren Wright,General Physician,"Mccarthy, Kane and Carpenter Hospital",Delhi,Delhi
481,Eric King,General Physician,"Knight, Harris and Kemp Hospital",Hyderabad,Telangana
482,Mary Buck,Orthopedic,"Doyle, Padilla and Campbell Hospital",Chennai,Tamil Nadu
483,Alan Kaiser,Dermatologist,Wade and Sons Hospital,Bangalore,Karnataka
484,Alyssa Cowan,Neurologist,"Miller, Gonzales and Glenn Hospital",Pune,Maharashtra
485,Amanda Jones,Diabetologist,Turner-Williams Hospital,Bangalore,Karnataka
486,Joe Myers,Gynecologist,"Mccarthy, Chavez and Williams Hospital",Chennai,Tamil Nadu
487,Jessica Morgan,Dermatologist,Walker-Kelly Hospital,Chennai,Tamil Nadu
488,Denise Alvarez,General Physician,Montgomery LLC Hospital,Bangalore,Karnataka
489,Christie Marquez,Diabetologist,Bell-Gray Hospital,Delhi,Delhi
490,Nicholas Perez,Neurologist,Hoffman-Gordon Hospital,Pune,Maharashtra
491,Deborah Frank,Diabetologist,Simmons-Keller Hospital,Delhi,Delhi
492,Brittany Buckley,Neurologist,Rodriguez-Holt Hospital,Mumbai,Maharashtra
493,Meredith Reyes,General Physician,"Wolfe, Thomas and Hardy Hospital",Delhi,Delhi
494,Shawn Brooks,Diabetologist,Graham and Sons Hospital,Delhi,Delhi
495,Jason Sanchez,Cardiologist,Daniels-Ross Hospital,Bangalore,Karnataka
496,Pamela Henry,Neurologist,Ochoa-Jones Hospital,Delhi,Delhi
497,Frank Lamb,Neurologist,"Thomas, Jensen and Williamson Hospital",Bangalore,Karnataka
498,Joy Hall,Orthopedic,Ramsey Group Hospital,Pune,Maharashtra
499,Marvin Hill,Diabetologist,York-Smith Hospital,Hyderabad,Telangana
500,Vincent Barker,Gynecologist,Castillo LLC Hospital,Hyderabad,Telangana
